"Item Type","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image File - 1","Product Image Is Thumbnail - 1","Product Image File - 2","Product Image Is Thumbnail - 2","Product Image File - 3","Product Image Is Thumbnail - 3","Search Keywords","Page Title","META Keywords","META Description","Product Condition","Show Product Condition?","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields","Product Id on Ebay"
Product,"Faulhaber Motion Controller V2.5 MCBL3006SRS",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,1206.25,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/204AAOSwDChmrIZ3/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395570272960|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395570272960|0
Product,"Copley Control STP-075-10 CC00-00986-000，CANopen Stepper Drive,75VDC,10A,Peak",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,950.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/REkAAOSw6~Rmsb55/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395578562583|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395578562583|0
Product,"Mycom IMS20-210，Full/Half Stepper Drive,120VAC,1A",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,980.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/4UQAAOSwwepmswgF/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395580741344|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395580741344|0
Product,"Advanced Motion Control DC Brush/Brushless Analog PWM Amplifier,AMC AB30A200AC",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,1159.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/bdEAAOSwwx9mhQIw/s-l640.jpg," ",,Y,," "," "," ",unique_string,v1|395510136736|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395510136736|0
Product,"DC digital driver (modular)，AMC    DPRALTE-060B080",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,1361.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/9loAAOSwqvtmqanE/s-l960.jpg," ",,Y,," "," "," ",unique_string,v1|395565671403|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395565671403|0
Product,"Advanced Motion Control CANopen Digital Drive,AMC DPCANTE-020B080",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,965.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/gOoAAOSwJuxmhO1K/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395510018084|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395510018084|0
Product,"Copley Control XTL-230-40，CANopen Servo Drive,240VAC,40A,Peak",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,1658.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/PS4AAOSwy5lmscNh/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395578581857|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395578581857|0
Product,"ELMO Motion Control G-TWI10/100EES，GOLD Twitter Series Drive,EtherCat,10A",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,1276.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/n0oAAOSwvVJmsdZN/s-l1600.jpg," ",,Y,," "," "," ",unique_string,v1|395578704104|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395578704104|0
Product,"Copley Control XTL-CK",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,165.00,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/NScAAOSwE~RmohAV/s-l960.jpg," ",,Y,," "," "," ",unique_string,v1|395553412878|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395553412878|0
Product,"Copley Control XSL-CK",P," "," "," "," ",Right,"New unit, original box, never been used or installed.",0,217.50,0,0,0,Y,"6 Month Replacement Warranty",7,0,0,0,Y,Y,"Usually Ships in 1-2 Business Days",none,0,0,"Business & Industrial",https://i.ebayimg.com/images/g/jeQAAOSwHRpmqxr~/s-l1200.jpg," ",,Y,," "," "," ",unique_string,v1|395567621726|0,NEW,Y,0,"Default Tax Class"," ",N," "," "," "," "," "," "," "," "," "," "," "," ",N," "," ",v1|395567621726|0
